800 8000
674 283 16
467 42 32
713 728 14
178 772 25
519 719 18
587 23 17
337 296 2
575 235 22
598 65 27
505 269 28
9 471 9
561 188 38
326 409 13
293 622 23
758 753 28
697 318 28
90 26 7
189 775 20
241 419 26
684 742 19
527 619 21
681 475 19
581 614 20
417 584 17
221 118 15
557 560 26
541 146 17
175 121 14
417 674 13
401 106 23
2 192 21
651 109 20
595 248 26
124 13 32
256 296 4
717 185 27
559 416 16
403 287 8
0 611 17
716 177 25
367 772 24
574 771 16
686 73 16
60 298 21
205 171 20
338 248 27
229 715 14
744 675 6
28 41 18
678 438 27
724 95 26
125 280 15
84 367 10
555 517 7
221 446 8
59 271 20
491 213 14
536 617 25
428 12 32
58 95 13
432 590 9
287 571 11
678 665 23
498 523 25
275 573 16
135 30 21
760 572 30
27 583 19
366 267 21
655 250 22
536 558 27
279 345 19
334 521 30
525 619 26
599 735 7
452 529 14
234 637 30
629 234 20
792 197 26
239 26 25
244 313 19
95 692 11
28 357 14
188 571 21
565 638 21
660 376 24
594 121 18
426 289 23
212 9 34
436 681 6
451 735 26
651 470 11
723 54 18
213 8 21
354 522 27
416 399 13
637 650 24
684 398 35
482 732 37
88 49 22
648 519 12
289 162 25
253 795 19
62 341 19
262 233 25
30 715 7
13 785 24
450 659 21
661 259 23
352 434 29
579 499 19
735 313 16
61 402 10
19 699 8
48 93 21
36 136 25
276 355 31
574 788 16
395 593 16
280 245 20
753 394 13
52 484 15
761 223 9
444 700 29
437 439 23
516 634 19
781 104 29
492 603 19
356 507 31
412 104 19
779 518 23
492 4 36
460 490 20
687 302 33
649 41 15
289 18 21
125 613 24
702 572 19
101 596 7
340 658 14
86 599 18
84 760 18
176 364 21
625 182 19
20 610 11
176 172 3
253 107 20
301 74 29
208 497 34
51 137 13
698 219 24
23 6 30
485 767 24
247 96 15
660 679 25
348 567 9
773 748 23
730 463 31
783 797 20
589 138 11
419 153 28
60 81 32
525 16 28
791 620 10
498 293 27
638 448 22
546 763 5
772 588 13
183 786 13
396 716 28
