150 500
11 88 18
133 134 35
123 13 7
55 87 15
92 75 25
133 30 20
50 86 41
20 106 26
109 32 30
81 33 18
67 69 33
58 43 30
79 40 17
64 17 33
68 94 24
102 112 17
145 138 23
134 104 6
31 7 17
34 2 36
108 67 23
138 142 16
135 42 12
51 127 20
59 11 16
26 119 13
147 133 21
61 1 24
38 92 17
45 34 16
6 107 32
69 44 26
15 35 22
16 48 2
14 82 28
44 7 29
90 45 13
48 28 28
112 97 21
73 147 21
49 78 22
83 105 20
146 13 19
45 79 32
96 22 23
120 4 14
51 1 19
67 74 9
129 4 27
50 87 17
44 139 20
105 40 24
93 63 23
86 131 18
12 103 17
59 121 15
113 57 19
63 55 3
49 143 10
45 120 26
106 93 21
11 96 28
21 123 23
124 82 13
62 0 17
128 36 23
18 2 19
143 144 23
56 135 22
92 41 20
99 127 19
77 134 10
12 14 25
130 80 13
76 85 23
94 139 9
97 88 21
101 144 10
148 133 17
27 86 26
48 111 17
32 42 21
138 127 30
118 105 32
43 67 16
98 94 25
147 55 15
74 31 6
5 89 5
3 120 24
137 76 15
132 138 17
65 124 14
135 101 16
83 37 11
85 2 18
119 115 31
135 39 17
148 13 23
131 50 15
100 112 12
102 20 26
19 70 18
91 144 28
145 121 28
21 47 11
98 121 22
73 131 20
55 31 27
40 71 25
17 59 19
2 139 16
15 110 25
105 11 8
112 29 21
35 81 18
93 88 19
60 139 34
78 117 1
84 51 21
13 121 15
129 114 17
97 52 16
84 74 16
128 136 25
120 97 12
51 21 20
143 16 19
51 65 0
62 53 22
21 105 33
140 5 19
149 143 31
47 107 15
47 103 22
148 140 18
103 48 25
57 120 23
27 131 24
133 87 30
1 97 27
145 70 22
54 57 21
131 54 11
11 116 29
29 50 25
74 147 15
6 33 24
25 20 25
7 116 24
141 88 6
146 30 19
129 119 5
87 89 15
9 38 25
141 36 34
91 19 23
56 49 24
120 51 27
45 119 26
62 73 21
29 49 35
55 1 4
45 116 6
11 69 24
45 138 17
106 125 25
18 83 27
24 143 25
108 132 15
2 38 22
17 118 34
43 133 17
77 12 32
28 55 14
33 92 27
5 93 35
52 112 21
59 107 17
54 61 8
75 149 26
112 99 18
5 122 16
108 38 16
104 100 21
121 120 17
54 138 18
133 77 20
95 47 22
85 11 40
81 63 10
59 83 14
32 2 15
38 113 37
56 108 23
109 97 16
10 146 23
45 74 17
139 131 13
6 111 12
51 9 18
116 29 22
35 124 16
50 104 23
60 75 21
68 79 16
124 18 8
109 143 15
31 91 30
23 34 17
24 49 14
98 128 34
44 107 13
13 68 24
123 39 34
93 0 10
85 25 28
96 133 25
104 4 23
15 132 35
10 17 12
95 24 25
52 9 16
23 28 22
122 149 19
33 79 16
44 61 19
41 58 22
68 110 16
83 107 14
105 39 32
33 19 27
114 24 10
131 11 21
39 83 24
37 101 16
48 87 18
143 104 20
53 143 19
129 62 20
77 1 20
9 46 20
65 127 7
84 128 11
111 28 25
117 144 26
66 143 14
43 41 6
136 59 20
149 1 25
100 62 19
17 147 23
40 101 16
104 90 4
123 78 21
88 2 12
62 22 14
83 102 29
87 62 23
14 132 12
73 61 23
132 108 20
80 2 15
67 73 15
92 30 17
69 43 25
13 109 14
56 33 17
70 100 36
81 149 29
112 118 25
3 89 32
47 135 22
71 142 21
67 39 24
26 130 13
126 57 16
101 146 22
79 36 43
140 93 21
10 84 22
95 74 20
28 121 16
64 72 5
40 65 33
98 64 17
138 45 27
72 117 29
8 93 23
10 7 8
0 120 18
59 44 13
46 105 20
63 87 14
38 23 13
50 9 10
145 137 43
41 69 3
33 29 6
18 81 11
10 138 22
4 69 13
49 29 28
76 8 19
69 135 16
99 67 17
12 99 27
111 57 22
60 102 26
59 145 7
105 71 12
63 110 18
14 131 10
17 31 31
105 13 21
4 101 18
138 86 25
18 34 5
119 66 41
120 87 7
67 53 11
105 78 22
80 93 15
16 58 24
145 76 15
105 46 27
99 17 28
50 107 22
145 100 27
65 72 16
39 144 12
81 143 26
30 67 12
139 5 26
36 28 17
149 39 -1
77 5 22
80 13 28
68 148 27
4 113 25
54 38 38
25 73 30
118 31 23
102 146 36
118 41 33
82 12 31
21 108 29
100 11 17
12 148 9
131 125 23
38 145 20
81 19 21
4 11 24
58 17 25
43 115 5
124 68 7
12 145 20
67 35 18
76 98 26
36 31 19
59 140 8
131 13 8
53 55 27
115 68 27
109 134 15
147 50 21
113 122 33
67 59 28
40 34 21
28 31 26
35 44 31
117 91 25
109 74 31
8 52 18
67 106 11
39 75 22
13 69 14
133 128 31
97 78 29
25 74 11
116 97 23
98 99 18
120 28 27
110 69 13
83 106 39
65 119 13
33 70 25
26 109 22
115 149 15
50 137 11
19 98 20
136 72 9
52 99 31
145 42 25
36 90 14
6 147 32
135 144 23
105 140 37
54 141 18
104 95 32
131 32 3
48 17 15
40 61 30
144 97 27
56 78 17
9 26 18
13 93 19
134 38 23
30 103 21
26 16 37
51 139 14
48 51 18
70 11 26
86 26 7
109 145 12
122 87 23
15 12 26
68 62 11
120 137 3
73 69 30
65 143 26
112 19 25
136 120 15
26 1 26
34 113 20
6 127 23
78 102 29
13 81 5
66 85 20
23 72 20
144 2 25
136 57 15
61 41 19
137 56 28
137 7 12
32 22 15
36 15 18
86 137 27
137 4 31
47 93 24
140 28 26
148 39 20
120 23 12
126 33 20
68 45 30
84 77 47
133 18 25
43 33 8
70 116 21
40 77 12
112 115 26
90 136 10
81 35 30
116 10 11
84 63 13
72 109 20
61 126 32
10 54 40
122 135 8
66 149 20
143 135 15
47 0 13
138 50 12
43 13 22
56 24 25
43 34 29
109 110 15
57 31 8
85 37 36
76 60 29
102 114 3
137 146 14
5 9 33
136 9 4
140 25 21
54 4 12
124 6 33
124 83 37
3 130 27
147 2 21
30 106 35
26 83 23
128 72 24
23 106 20
37 116 22
28 18 9
97 136 30
91 41 17
122 76 7
51 82 22
140 3 27
98 22 14
117 15 24
136 86 23
102 133 24
112 116 21
32 91 23
141 55 17
84 50 26
34 128 25
