400 5000
81 144 23
126 201 20
357 206 17
151 338 12
204 86 28
357 221 11
313 272 4
243 333 12
86 343 18
342 152 28
264 215 22
27 183 24
301 270 32
362 195 16
94 142 22
325 108 22
38 191 29
368 179 12
295 109 20
31 314 21
317 361 28
153 264 8
385 299 31
214 249 18
97 380 19
333 51 6
181 296 31
192 304 4
132 247 23
378 315 27
105 184 24
134 8 18
164 41 35
84 160 22
253 11 10
191 141 22
257 309 15
76 365 9
186 172 27
169 318 22
107 219 23
145 373 18
333 57 20
172 248 31
148 41 29
22 307 14
32 114 20
147 276 18
353 54 15
81 350 41
225 41 26
296 227 16
26 268 27
0 215 2
102 395 19
383 248 17
234 189 9
185 89 21
365 222 27
187 63 33
33 143 15
59 385 25
34 336 5
186 55 18
339 67 14
147 348 16
342 207 21
11 252 18
66 394 14
156 10 15
81 4 15
17 187 25
391 123 31
173 333 21
193 161 14
229 87 11
266 8 29
301 121 11
255 79 31
180 23 18
216 29 28
268 139 20
318 179 27
40 118 22
87 387 20
269 234 19
85 291 29
197 269 5
41 338 35
215 378 11
143 398 19
1 211 14
41 343 11
84 243 23
121 37 26
130 38 12
6 388 17
221 312 26
363 194 37
86 317 16
293 14 25
334 141 7
121 262 24
324 171 8
168 295 27
116 73 13
188 364 10
306 110 24
331 322 9
363 290 16
371 391 13
259 5 8
175 144 28
373 134 24
187 386 17
357 191 32
19 254 22
79 60 20
148 32 26
371 362 33
104 211 20
272 216 19
126 223 27
331 183 17
36 103 16
7 68 28
334 142 26
209 157 24
295 296 21
398 177 17
167 173 9
352 355 16
160 388 18
240 199 25
314 88 31
322 243 18
108 182 17
114 101 18
347 156 9
251 321 27
307 182 37
75 353 14
122 289 32
345 5 19
279 82 20
6 208 26
105 50 9
380 116 18
333 140 11
143 58 21
102 220 21
310 63 18
139 398 27
98 278 16
159 17 20
240 15 31
332 227 27
352 380 25
29 63 38
222 363 24
244 119 16
255 257 28
177 331 17
162 83 26
170 367 16
64 344 23
50 378 -6
349 104 8
35 97 24
215 303 34
325 208 23
39 256 18
149 295 23
35 336 21
293 141 12
3 231 12
345 396 2
59 7 38
263 393 13
37 159 24
100 58 22
58 220 26
310 374 7
270 269 3
52 99 23
74 123 19
236 326 9
204 43 13
167 309 9
127 154 33
39 55 17
24 70 19
209 35 13
34 246 24
390 222 22
111 51 14
179 223 35
14 7 16
156 240 27
266 4 29
313 343 17
221 319 22
151 144 29
318 41 31
23 40 32
168 256 24
135 238 19
204 372 22
257 157 38
332 278 5
263 187 23
388 364 30
163 11 27
99 182 14
39 32 26
105 375 3
332 259 34
189 79 16
320 52 41
61 214 18
330 296 17
18 81 32
205 323 36
277 66 21
53 284 26
57 107 6
92 368 24
71 175 10
127 3 16
33 305 33
230 350 11
380 13 20
353 397 22
276 86 23
314 130 27
197 389 21
2 84 4
359 136 23
311 348 15
285 76 15
394 357 42
66 207 30
299 318 30
159 276 17
232 349 24
302 223 13
139 222 20
341 342 18
249 268 26
208 65 22
34 342 18
312 298 15
93 365 36
260 360 17
98 271 15
74 220 24
399 388 24
34 393 23
263 124 21
72 373 22
115 338 18
302 182 26
185 194 16
388 387 7
375 315 27
370 150 18
23 349 21
26 156 18
396 219 12
168 322 31
33 170 12
307 26 24
286 31 29
91 372 21
212 245 13
85 178 19
111 90 22
282 85 14
248 182 16
370 359 13
48 263 17
61 36 15
348 145 26
102 119 29
386 200 27
200 369 1
181 395 22
368 136 18
354 121 24
234 309 32
136 39 35
364 309 12
48 268 21
146 71 13
109 2 28
184 123 25
173 131 11
161 387 28
170 46 28
273 318 21
139 89 22
282 209 31
286 392 6
137 382 10
301 174 14
6 120 20
109 355 17
209 245 29
108 237 21
120 380 21
274 152 22
19 294 22
222 197 22
181 344 7
157 0 19
59 216 32
21 227 13
100 76 31
395 210 30
29 144 28
399 322 18
10 191 22
343 195 17
210 305 28
125 123 4
286 268 12
374 82 27
308 364 17
206 147 23
156 29 17
39 33 26
82 251 21
177 1 35
186 321 20
116 153 22
355 14 13
115 387 29
70 52 14
285 265 7
261 212 16
25 218 28
14 338 1
55 356 20
72 230 24
163 23 27
243 377 32
211 120 26
169 52 19
373 186 19
49 340 25
20 390 25
281 121 17
52 168 9
171 230 23
128 35 24
257 128 20
49 114 23
245 84 17
253 309 23
155 243 28
182 301 24
225 252 17
277 223 16
207 182 22
383 1 28
150 212 7
146 203 17
194 158 19
6 119 9
266 270 23
365 146 16
156 31 19
309 120 20
19 32 19
146 106 19
355 367 16
6 59 20
57 302 41
219 14 19
147 128 27
284 397 26
162 29 15
130 256 15
327 296 30
