500 5000
96 238 13
320 118 11
204 93 3
425 394 31
231 35 23
288 183 15
465 123 27
47 230 16
489 114 18
316 298 34
90 27 15
403 293 15
361 434 29
207 360 14
182 416 28
373 25 30
398 287 16
491 262 32
39 466 35
284 458 9
150 79 26
199 125 10
309 266 7
137 195 32
280 234 13
158 444 18
330 75 24
0 191 30
345 157 21
1 78 11
89 45 28
69 104 20
85 29 16
413 384 19
24 239 22
456 241 9
195 72 19
153 253 24
17 302 15
481 162 3
49 259 27
320 490 26
324 53 23
156 82 13
70 409 26
208 255 15
22 359 10
129 434 11
151 143 25
457 426 23
66 482 12
313 43 1
49 492 25
152 54 19
419 371 11
177 388 15
269 302 25
0 292 28
377 409 19
309 112 11
106 73 25
75 154 25
182 190 26
54 21 21
174 250 15
453 394 13
397 173 18
422 75 28
332 272 24
312 432 21
197 62 27
341 164 35
267 129 40
0 489 23
100 73 20
457 247 31
265 382 21
354 319 14
228 352 9
410 110 17
443 303 16
287 69 25
77 215 17
355 273 25
354 432 30
27 310 11
332 147 11
439 467 12
286 373 21
354 111 29
385 316 11
379 486 10
50 311 24
464 363 20
199 136 20
151 351 25
14 203 21
30 451 2
66 322 18
289 229 30
7 126 33
302 484 29
469 174 26
332 6 12
51 497 22
118 366 20
343 398 15
354 214 23
53 464 20
70 181 28
140 427 15
309 92 18
108 415 19
312 19 19
480 346 11
312 64 23
276 389 14
344 113 23
496 142 13
223 426 13
236 92 19
33 151 21
468 81 24
92 205 19
424 287 24
375 236 19
122 186 12
298 449 15
157 169 30
417 181 17
46 63 19
34 460 33
404 42 16
204 296 9
276 141 24
377 100 9
301 485 24
484 348 20
0 82 9
443 12 21
351 234 29
104 3 9
403 60 33
302 124 18
7 81 26
110 203 26
234 336 20
490 393 15
453 395 23
462 413 9
32 145 6
29 209 -3
11 214 11
244 109 24
263 172 9
113 374 22
161 253 16
51 256 3
127 29 20
91 486 17
161 233 14
472 90 7
399 8 33
486 380 26
190 486 16
103 263 17
126 18 20
197 406 23
191 106 29
122 290 13
124 419 18
459 422 36
364 148 22
202 240 15
439 59 22
205 9 13
228 260 24
413 369 9
113 131 15
286 468 20
256 6 16
217 486 23
426 471 16
355 445 20
1 117 8
307 214 8
448 104 28
381 190 30
365 51 27
269 117 27
259 90 10
396 424 10
45 443 17
242 304 18
493 163 30
9 390 21
313 379 14
236 143 20
425 221 6
477 3 17
342 266 11
189 367 4
288 342 24
336 109 10
424 385 22
34 88 5
86 395 27
114 198 21
64 20 31
155 273 16
238 17 26
251 326 19
68 229 28
254 378 28
119 464 30
214 296 24
260 417 32
471 50 14
134 496 17
49 196 18
85 226 18
126 441 23
279 22 24
419 114 20
467 481 16
423 120 19
116 228 25
400 37 21
296 269 23
347 338 32
68 45 15
41 110 24
155 32 33
71 72 11
338 315 26
171 205 32
282 235 8
151 492 14
381 73 19
267 115 22
54 41 11
212 399 17
214 461 27
208 372 19
139 19 25
2 481 20
118 266 5
447 433 8
328 210 26
388 264 21
199 429 16
247 118 31
345 129 8
279 44 22
186 469 16
148 267 32
61 349 12
417 62 12
382 435 15
427 473 25
154 39 17
475 110 21
67 328 20
329 61 32
324 242 17
204 314 16
376 437 25
390 357 24
289 203 9
86 402 16
369 453 33
296 34 37
12 4 10
239 108 20
186 235 21
267 138 32
216 452 21
87 320 16
171 294 33
262 386 13
306 15 29
143 61 15
33 21 23
145 216 21
157 39 23
335 408 18
420 403 22
267 17 24
202 191 4
258 322 14
55 361 22
122 239 29
199 497 23
301 425 15
188 279 17
322 452 20
85 162 23
349 327 25
368 125 12
483 232 16
405 207 35
474 110 24
216 449 26
458 417 27
99 357 18
396 333 19
292 417 15
96 203 11
270 365 24
169 290 22
162 221 18
363 44 10
418 182 12
152 109 27
44 81 17
265 86 16
440 241 20
98 135 31
409 356 12
369 252 18
467 141 26
344 450 16
161 417 25
120 369 38
231 102 13
312 77 20
352 32 5
448 412 14
130 208 9
29 228 15
67 16 22
18 128 18
465 234 14
62 191 30
441 396 26
243 391 31
384 52 17
26 10 19
445 114 6
420 491 21
148 191 16
314 225 25
373 421 9
57 369 15
315 131 12
115 214 19
104 135 20
167 336 25
219 179 30
200 487 22
436 191 16
60 368 20
377 395 18
200 110 18
16 148 21
370 456 19
252 374 20
105 381 34
112 418 8
198 231 11
423 393 9
0 255 16
134 358 19
416 339 12
449 149 17
246 261 17
115 259 20
329 479 13
68 398 21
427 259 24
338 363 20
24 452 31
213 28 18
326 131 19
301 386 25
424 493 23
206 12 29
276 202 31
261 169 24
154 350 26
27 252 8
368 171 28
278 107 26
193 151 21
233 432 21
355 382 9
142 234 16
159 415 20
450 10 15
58 377 24
320 386 14
497 433 11
263 345 2
268 60 21
441 241 13
335 499 5
407 491 13
217 342 13
42 263 20
336 308 22
203 218 14
378 140 20
214 250 30
201 372 27
390 207 4
395 295 34
156 112 16
319 416 24
271 393 17
392 464 33
417 351 12
156 393 16
199 373 26
76 241 43
325 55 20
317 479 15
466 69 -2
120 330 18
189 463 6
413 247 21
438 324 16
91 21 16
326 35 14
117 124 16
94 142 26
254 396 22
55 482 33
345 225 28
61 172 23
4 222 12
423 304 18
285 376 18
483 341 38
222 379 13
471 489 20
393 73 33
420 319 10
341 374 27
403 408 27
368 183 28
55 494 19
74 258 18
88 150 23
414 34 24
282 224 11
166 211 12
147 226 9
255 15 25
187 310 18
351 334 11
178 487 23
476 240 3
89 169 15
112 237 12
121 80 14
350 290 33
47 179 19
192 115 18
370 416 36
17 10 35
495 320 19
463 31 28
331 205 13
406 162 22
370 337 28
376 86 25
104 363 15
224 348 32
398 87 19
175 32 4
141 315 17
248 334 22
184 356 11
180 393 18
145 291 23
166 196 22
276 274 21
281 100 21
242 438 21
392 323 6
256 317 19
175 127 26
255 272 12
60 238 29
238 273 22
426 306 22
118 285 12
134 472 23
89 288 22
115 160 12
407 345 36
378 381 20
23 95 25
155 392 23
360 135 25
37 496 13
451 129 30
377 153 13
97 81 15
77 347 30
424 156 20
19 302 24
62 234 29
253 349 17
24 251 11
311 89 27
396 387 13
382 72 28
193 198 18
43 10 10
421 440 20
357 285 22
294 255 7
118 273 21
349 466 17
162 61 32
206 87 27
489 385 26
249 377 24
328 241 17
427 342 27
308 210 18
61 72 6
44 393 16
461 98 30
424 397 21
115 266 22
193 69 19
110 175 9
378 316 4
465 427 25
215 247 30
396 127 -1
396 151 15
320 156 21
396 84 19
210 458 10
406 337 30
131 330 30
433 347 18
349 171 37
216 92 19
48 355 26
73 130 16
248 232 10
306 308 15
19 57 19
449 50 14
206 308 12
72 291 18
71 39 14
221 64 18
131 171 18
97 43 28
461 81 17
288 374 9
305 14 9
50 123 24
426 323 25
226 54 28
260 89 13
201 281 20
394 376 11
146 107 23
200 297 21
46 425 11
294 193 14
457 469 22
201 244 24
288 21 26
339 271 16
193 298 8
126 151 26
389 132 28
255 131 22
178 137 22
39 263 17
83 212 26
453 98 36
334 10 21
24 89 22
390 397 24
447 232 13
382 470 13
71 388 26
56 40 22
298 463 11
373 391 22
129 88 18
143 331 21
270 352 30
0 328 17
384 2 22
219 207 16
443 254 1
3 137 25
310 72 20
13 241 19
105 434 21
20 249 16
363 269 22
484 469 14
437 432 20
63 141 28
403 355 27
271 447 7
277 193 29
306 218 24
492 34 7
406 477 37
222 61 34
492 421 -4
60 248 24
381 473 16
364 410 4
342 369 37
247 56 27
340 214 15
207 146 24
391 285 24
18 129 25
183 45 -2
92 177 32
326 331 10
204 465 12
194 114 9
75 288 15
69 78 23
351 247 4
63 498 11
404 325 20
270 332 24
398 269 27
362 169 18
197 281 29
345 32 12
83 474 14
187 417 6
53 460 15
466 392 22
358 428 24
188 280 12
97 137 15
43 346 9
443 170 18
427 494 16
174 344 26
379 150 9
155 70 19
434 439 19
81 486 28
407 305 6
482 87 28
228 321 19
122 483 20
120 117 20
479 104 16
150 251 2
355 33 25
11 74 4
295 248 24
444 312 20
152 29 28
391 453 9
468 168 30
29 365 18
42 225 28
283 428 31
463 18 18
109 438 8
93 136 17
414 142 23
214 103 17
425 493 36
73 5 30
161 41 23
107 439 24
4 371 14
303 480 18
269 457 24
45 462 15
15 36 21
419 176 16
