200 700
198 112 21
24 7 5
52 124 24
155 75 21
156 76 13
63 85 15
24 51 19
66 198 27
7 82 29
32 27 27
32 64 21
71 81 6
10 99 33
182 134 23
15 157 24
188 84 20
67 131 25
93 114 20
7 57 12
20 116 25
32 74 23
116 75 16
2 189 8
50 15 19
3 90 23
157 4 29
150 174 7
196 40 11
77 150 19
92 42 10
77 114 20
8 82 12
5 92 12
15 144 27
59 109 21
53 117 15
108 15 13
95 155 29
176 12 41
45 50 18
19 156 16
98 16 21
64 176 24
43 31 33
103 14 34
147 192 29
98 152 17
177 148 11
116 190 17
156 145 30
31 20 25
35 122 27
106 46 5
194 169 23
138 9 21
65 74 17
110 65 17
55 191 6
120 128 20
10 76 11
45 64 8
96 85 30
68 174 12
136 143 15
183 66 14
172 29 14
109 175 21
121 155 25
53 144 19
182 59 25
177 32 24
65 108 8
172 157 16
128 16 20
85 93 31
11 57 5
120 86 18
36 192 22
19 145 31
94 91 9
88 156 28
153 69 21
161 179 28
33 135 34
100 136 17
157 20 22
78 165 28
179 51 20
124 179 15
136 103 22
76 188 23
175 115 43
123 48 26
175 2 25
189 183 44
169 125 21
112 165 9
149 140 40
141 23 10
149 172 28
1 74 22
53 47 16
97 43 39
168 54 22
18 192 8
19 25 8
115 66 12
113 128 17
97 175 15
17 1 5
182 62 15
144 196 21
150 41 20
70 13 18
23 138 38
154 199 9
181 163 24
52 171 31
176 149 13
189 16 23
142 112 22
103 79 24
97 98 4
136 123 19
115 54 21
80 179 5
17 19 10
173 179 20
190 147 22
41 19 15
68 125 24
50 51 21
123 108 30
190 101 24
27 122 26
111 188 15
161 139 15
92 52 15
42 90 18
174 75 43
157 55 22
169 3 19
61 37 23
93 21 23
26 177 10
96 11 27
57 75 6
99 19 15
174 3 16
113 25 21
24 129 29
194 108 25
165 176 11
120 21 34
142 13 6
127 15 3
101 31 11
165 134 20
8 97 21
178 58 23
147 108 24
85 155 24
29 176 24
16 82 14
74 46 16
65 113 25
91 31 13
24 106 20
40 163 14
23 84 11
131 20 17
38 198 18
182 158 16
154 50 24
112 95 11
12 149 24
120 97 26
176 91 23
127 78 19
122 77 20
114 152 25
66 28 21
30 104 28
33 44 21
170 45 17
17 172 14
55 66 19
85 52 33
84 11 17
143 68 14
133 35 16
161 43 35
174 157 23
114 78 21
134 76 12
60 31 23
91 34 36
11 157 24
176 42 18
63 44 21
119 117 11
58 114 22
14 125 18
69 99 20
107 153 12
114 13 22
65 133 19
156 58 23
189 69 20
125 173 17
188 61 12
132 1 19
121 92 15
47 127 11
166 108 28
163 52 14
89 188 18
104 40 18
46 112 20
26 54 8
121 64 16
9 87 17
125 168 22
168 73 12
7 53 30
152 47 23
7 46 13
42 49 21
31 111 20
85 86 19
30 132 10
14 18 11
77 184 18
89 41 14
124 28 1
103 156 13
14 121 13
110 111 18
26 124 29
125 180 13
33 71 29
49 3 31
52 108 22
149 155 28
126 198 26
53 23 15
49 132 25
122 91 17
17 147 14
87 127 22
65 128 19
75 61 24
58 69 23
62 6 24
35 86 24
14 199 7
125 66 17
105 102 28
152 146 18
180 94 11
44 173 9
116 168 27
103 9 13
119 20 20
93 48 30
43 20 28
70 42 20
83 35 28
147 42 6
53 167 28
49 45 17
31 32 12
116 134 31
20 7 8
96 170 25
168 67 22
148 184 21
195 142 2
160 163 11
132 131 23
75 3 25
81 25 15
34 55 18
2 124 15
152 176 25
59 17 28
2 188 25
31 45 13
27 155 26
52 67 19
33 122 27
4 166 27
193 148 23
107 87 42
43 63 19
157 11 30
116 94 24
138 178 22
171 119 30
197 27 7
177 2 25
158 136 22
165 141 30
40 26 34
77 60 31
180 57 13
100 37 38
2 76 22
82 123 15
122 192 19
194 114 16
173 52 34
182 107 22
32 197 21
62 94 15
29 162 15
39 10 25
142 21 11
149 147 26
162 155 4
96 91 13
140 119 17
7 80 26
32 35 33
75 14 10
40 83 29
150 110 28
129 95 15
152 81 12
45 159 13
53 142 8
89 128 13
63 45 32
165 17 36
49 106 4
97 92 30
187 144 30
69 39 28
164 155 41
168 3 -5
123 7 28
96 33 11
131 127 26
92 186 19
41 114 23
157 82 12
14 9 20
37 8 28
147 21 25
18 74 26
68 3 25
123 11 19
61 169 28
49 47 34
175 80 21
127 19 2
75 169 16
131 111 31
21 170 6
50 181 25
194 32 16
119 41 16
57 108 24
180 32 21
62 144 29
54 67 15
2 65 24
197 51 21
179 132 39
29 128 19
167 56 18
71 25 26
53 3 22
111 97 30
150 120 16
108 60 14
69 5 27
147 106 11
133 21 1
48 50 24
95 185 27
99 47 18
108 72 20
120 33 26
50 118 29
35 69 27
7 169 42
36 44 8
120 188 17
168 26 3
88 74 26
32 148 11
70 29 16
199 33 8
131 92 18
48 121 20
134 132 22
44 6 5
132 125 21
193 159 9
35 198 7
142 55 21
126 35 23
69 28 30
121 76 33
125 156 15
64 104 20
52 85 25
33 99 21
190 16 24
141 154 29
22 128 12
191 174 20
129 144 35
5 25 22
142 129 17
0 187 21
29 72 23
17 118 9
111 139 13
123 58 14
42 100 17
117 125 15
112 182 15
70 88 29
5 59 27
17 88 9
102 169 23
187 88 17
125 69 18
67 75 12
99 42 13
176 30 19
180 89 27
158 73 23
22 112 26
40 188 21
173 153 21
60 170 9
119 104 26
28 27 16
169 198 30
148 27 35
11 5 19
91 103 24
33 121 11
12 191 14
141 140 14
105 85 17
162 76 22
88 14 23
128 106 12
64 46 31
48 133 28
57 97 34
159 113 10
75 92 34
61 166 32
11 47 23
52 199 20
82 56 36
55 113 28
51 13 19
3 23 19
50 112 28
90 104 21
125 76 6
144 138 28
115 137 14
133 57 18
75 189 16
57 93 27
122 11 6
135 12 35
88 51 20
9 2 34
174 103 23
130 96 20
21 105 13
117 50 19
105 141 12
68 182 31
38 106 25
85 39 15
48 127 19
156 115 10
186 6 28
93 100 15
68 113 37
104 0 17
29 105 12
165 112 33
123 25 24
128 54 20
28 138 20
0 124 25
122 198 23
145 31 19
169 124 2
154 18 12
109 15 11
170 62 21
173 169 18
124 89 37
109 46 16
133 114 29
47 128 22
82 7 25
57 106 15
160 114 8
175 145 27
85 128 13
157 16 15
39 30 8
3 94 19
173 38 32
36 10 12
169 146 7
122 183 26
79 21 21
22 114 9
195 141 12
123 87 19
55 85 26
63 156 19
30 190 24
173 33 22
180 68 27
89 160 8
10 192 18
178 61 12
63 141 26
149 193 37
151 80 9
106 129 2
11 136 19
113 126 24
39 6 25
41 168 1
94 104 15
191 171 14
60 139 17
150 50 19
66 62 41
157 105 21
155 137 24
142 14 21
31 118 27
143 85 5
43 169 14
109 128 21
145 46 33
128 172 28
168 60 19
41 152 26
122 130 14
3 148 12
60 167 16
185 171 34
26 90 15
78 154 39
84 22 21
160 167 -7
50 157 30
77 1 24
40 79 27
184 28 15
194 34 11
12 84 27
112 56 13
143 22 16
195 62 21
32 180 17
78 185 21
90 7 32
37 80 24
119 147 22
188 26 19
117 165 22
154 72 25
139 23 16
111 77 12
14 2 18
36 122 28
120 157 27
175 13 19
119 6 -6
105 100 9
38 171 19
62 70 38
131 147 28
184 196 20
172 96 16
16 122 21
34 142 16
30 156 15
193 172 18
147 67 19
78 23 13
70 32 9
111 187 20
175 148 24
16 148 34
23 186 14
115 166 33
21 174 27
160 103 23
108 47 28
48 27 17
145 124 14
156 107 16
171 163 31
171 71 32
136 61 18
88 55 14
35 101 18
183 86 24
191 29 22
149 66 23
162 126 16
138 96 18
154 190 19
170 138 36
162 89 35
31 98 12
142 74 28
152 86 25
178 24 20
30 140 26
90 49 20
51 118 21
181 93 8
63 143 16
131 52 23
145 1 11
85 170 16
17 63 26
81 29 31
196 143 12
36 172 21
166 10 21
8 135 18
31 105 17
37 131 30
14 175 5
180 45 14
40 43 25
41 100 14
136 101 17
128 171 24
169 103 20
164 45 -2
41 21 28
56 40 16
106 41 26
186 108 14
170 97 21
26 58 18
114 63 37
162 49 30
168 44 31
154 176 21
65 52 -1
141 88 20
90 66 16
52 198 32
159 88 11
135 55 19
107 32 15
52 94 27
156 86 18
47 81 26
123 74 26
56 49 21
25 29 42
152 72 12
171 4 20
183 154 18
194 145 17
60 185 26
121 44 27
6 169 20
179 173 9
117 19 4
85 171 11
82 138 25
198 186 15
38 125 24
118 6 29
178 0 20
36 145 15
171 29 16
147 39 24
124 48 27
24 80 30
2 48 22
82 121 22
16 116 19
110 44 10
81 7 8
