300 1000
227 29 30
292 158 22
126 20 18
87 152 28
210 169 14
291 49 12
145 79 12
233 0 15
16 113 37
120 168 18
75 189 16
163 96 22
40 264 21
60 54 26
178 163 15
229 3 19
100 92 18
40 118 3
288 46 11
275 153 12
278 170 8
151 85 24
14 32 22
198 98 23
272 48 12
289 183 11
210 148 34
7 63 18
174 100 34
299 225 16
182 137 12
246 283 22
128 150 41
281 124 26
110 13 25
105 199 22
287 66 26
74 210 15
14 39 19
60 62 21
9 235 17
228 80 6
259 32 30
45 226 17
275 286 -1
27 152 18
202 20 12
91 256 15
215 206 4
274 2 20
195 36 21
151 247 16
107 167 14
35 4 32
178 221 14
163 95 14
54 220 18
255 85 38
142 180 18
240 285 17
122 274 17
292 161 17
93 185 12
52 226 10
124 103 32
103 165 11
127 276 34
169 197 29
73 71 17
186 299 27
35 194 29
89 217 30
50 162 17
56 51 5
258 12 18
207 270 13
232 2 25
56 118 23
276 6 32
52 153 41
30 134 24
56 173 25
172 133 18
39 209 17
102 256 15
208 162 36
201 83 10
242 199 21
179 281 22
8 243 9
163 196 10
2 106 27
99 10 22
139 102 20
294 235 14
70 218 19
173 115 17
167 157 28
3 108 30
128 289 21
184 90 20
96 218 30
66 249 19
44 42 31
132 190 30
4 256 13
240 17 35
81 291 21
170 186 13
239 86 36
199 253 24
19 65 10
269 225 19
253 91 7
212 214 29
191 74 32
245 15 24
173 119 9
129 231 15
237 143 13
27 248 -1
298 62 7
30 131 13
60 261 27
91 169 9
286 67 14
282 73 -4
188 74 10
210 150 13
293 155 20
261 49 28
287 245 10
71 112 7
143 154 22
213 209 12
190 243 12
130 205 24
298 142 25
132 50 29
65 18 23
18 141 16
270 137 -3
46 70 21
234 58 8
260 172 18
3 65 30
100 48 13
136 128 31
47 295 6
150 189 19
264 109 16
168 3 26
138 167 26
229 259 25
33 260 20
150 285 34
246 149 29
165 255 25
35 290 17
284 51 2
19 188 18
173 144 18
227 125 14
202 66 11
224 290 19
6 270 11
166 73 15
205 52 14
246 150 10
72 22 20
63 56 14
156 31 14
176 193 17
226 146 32
232 191 23
238 144 12
72 294 40
115 44 29
7 191 24
250 185 11
253 231 2
172 232 28
227 196 19
168 170 33
180 58 22
250 38 17
184 261 19
235 95 27
157 299 21
23 172 6
66 220 16
6 74 20
188 42 25
291 254 24
2 237 24
99 269 14
220 20 26
62 137 28
193 100 19
291 289 34
139 12 27
16 201 14
215 259 15
38 286 30
