250 900
41 113 21
50 147 9
79 238 11
98 85 8
127 14 12
188 194 24
44 68 24
109 53 14
208 123 13
54 219 27
0 62 29
102 86 29
80 39 23
66 142 20
131 28 30
44 102 15
234 23 21
143 177 18
6 215 3
149 142 25
204 201 9
140 11 18
45 248 26
51 6 17
120 193 15
208 59 20
135 94 27
101 44 23
23 222 6
21 200 13
81 83 13
228 37 9
178 71 23
218 209 2
202 158 21
170 72 22
183 223 24
19 59 16
14 139 34
167 32 22
64 159 9
95 130 13
145 161 31
213 192 22
141 171 20
61 240 29
88 72 24
28 215 25
217 187 14
132 133 7
95 33 24
62 237 19
6 104 15
141 199 26
246 5 18
90 96 26
104 194 3
165 172 15
237 40 11
247 40 19
18 112 2
96 57 32
149 237 7
90 244 9
239 155 16
247 218 36
13 129 14
34 197 24
230 103 22
246 6 31
11 223 20
112 25 22
32 83 19
202 207 11
56 197 22
188 127 20
20 88 22
9 92 24
95 11 10
121 184 19
200 164 18
26 74 22
136 58 27
97 2 30
114 239 13
172 113 33
245 208 38
56 34 21
18 230 13
20 97 16
62 240 13
218 204 27
233 173 23
22 151 24
70 39 18
66 47 18
103 205 10
235 31 7
180 240 24
75 146 29
88 105 12
93 7 15
115 37 15
15 29 32
111 10 -2
150 41 36
226 222 14
123 225 28
43 75 33
103 173 12
30 246 21
181 42 31
89 196 20
202 152 22
64 81 16
62 105 42
199 118 18
71 125 33
41 119 24
167 90 19
3 240 16
205 144 23
76 196 34
242 247 6
65 88 22
106 217 7
106 63 15
239 84 15
115 38 10
136 10 36
189 9 30
118 90 26
1 169 21
18 11 19
71 61 12
99 12 21
148 199 0
8 97 16
87 169 26
206 110 25
94 161 32
173 184 25
180 229 25
127 38 19
125 225 12
82 1 15
222 184 30
159 30 16
148 145 8
189 45 22
221 174 26
231 119 12
17 172 27
82 105 18
39 4 23
127 156 26
0 108 32
59 75 20
69 168 10
58 33 22
236 127 31
197 220 26
53 228 14
150 188 19
62 215 24
186 184 21
9 113 25
47 102 17
208 168 21
181 167 20
145 47 29
13 36 11
203 10 7
156 177 10
246 180 18
245 23 18
102 99 15
19 235 29
248 42 23
31 61 18
219 38 19
25 68 9
93 69 30
52 84 3
123 84 27
59 180 22
159 45 19
135 192 25
147 52 21
139 222 4
49 63 16
234 213 16
101 60 17
