600 6500
369 290 27
291 571 22
469 224 12
340 447 15
375 486 20
406 362 25
561 242 17
374 114 19
110 150 18
287 544 15
499 549 30
74 270 24
543 356 31
548 330 23
300 506 10
261 57 22
190 175 25
126 148 19
176 384 10
592 485 13
28 233 9
545 50 31
73 537 22
583 1 16
404 497 25
177 30 24
484 429 30
42 314 39
261 13 27
198 342 8
383 214 13
182 7 14
227 327 31
389 2 18
308 295 16
485 320 11
63 358 22
424 24 19
263 519 14
404 164 18
536 373 17
593 143 38
232 396 18
240 31 20
515 478 16
374 340 7
20 252 27
401 575 21
370 386 35
503 539 20
365 527 13
153 57 9
148 208 18
127 149 13
87 366 9
452 4 25
489 353 31
43 108 23
169 246 9
22 62 0
225 240 21
332 546 21
50 588 27
325 333 19
128 190 -4
146 307 22
283 543 23
584 588 21
514 585 24
451 27 12
519 496 16
309 273 12
247 562 18
142 102 16
121 512 47
251 448 38
540 130 20
279 412 7
241 484 14
206 137 18
550 346 29
125 218 20
537 443 35
380 439 18
434 225 22
134 163 17
302 66 6
465 355 10
336 451 24
2 572 15
474 168 17
389 438 24
541 298 9
87 64 24
305 179 17
138 470 15
29 476 18
498 425 26
291 239 11
405 274 11
196 384 17
332 531 22
566 569 28
177 254 26
171 22 23
339 286 18
313 583 16
107 265 41
285 426 21
147 206 13
101 204 20
198 372 9
576 66 40
379 500 16
129 125 14
569 394 30
221 414 12
59 52 11
441 363 19
476 24 13
62 559 20
289 202 22
15 534 13
565 553 21
247 110 29
534 501 29
453 27 22
363 355 19
48 63 24
559 6 7
326 311 19
265 574 8
335 25 18
91 403 15
296 301 21
488 210 7
183 5 18
192 269 14
175 158 18
310 402 23
145 152 8
414 214 27
28 552 25
508 390 19
164 63 19
119 476 9
391 104 27
590 366 11
327 505 11
15 350 12
368 197 23
107 22 17
481 260 20
599 156 14
311 335 21
352 52 17
493 512 24
582 342 21
112 208 10
567 417 16
132 313 19
224 462 6
242 55 19
432 140 22
333 466 35
328 56 27
306 456 26
598 371 12
322 70 13
519 144 28
510 553 27
207 452 11
30 257 24
77 300 23
149 86 22
352 443 20
471 170 29
564 204 21
169 511 17
237 82 15
112 229 19
29 268 17
213 348 26
237 429 20
112 416 25
322 432 28
442 473 32
300 318 17
461 449 38
595 349 25
385 121 12
498 465 12
186 456 22
598 566 22
260 555 9
62 27 9
194 485 23
2 136 26
472 304 22
477 104 22
150 514 15
284 224 42
405 513 2
526 405 24
569 462 5
128 335 19
406 443 18
567 90 44
256 574 27
25 505 25
543 233 28
386 468 19
214 565 13
381 445 10
130 523 26
79 135 20
338 256 13
53 464 23
200 443 17
320 79 24
53 390 27
75 171 28
261 24 21
499 470 25
194 240 16
203 115 20
589 347 24
490 524 20
49 110 14
552 588 21
286 582 22
389 498 23
509 279 23
533 146 17
84 63 27
476 491 15
537 115 28
194 154 13
66 473 22
222 65 9
108 540 31
340 312 20
399 366 27
42 558 25
473 34 7
287 319 27
335 563 36
28 115 12
439 513 16
404 266 32
236 65 11
115 581 22
346 43 12
540 166 16
145 317 18
368 337 22
447 372 26
472 555 29
588 526 19
98 50 28
109 97 19
315 269 24
60 131 11
114 403 21
135 91 23
332 155 33
413 391 15
428 239 11
256 336 0
26 348 16
593 153 13
290 425 16
196 95 34
304 536 31
359 6 16
190 443 17
218 125 28
348 256 28
221 505 18
377 196 2
400 197 10
490 107 28
