20000 300000
2339 17643 21
1763 6819 31
6674 1352 19
4400 17605 16
4072 19012 27
9187 2030 16
10228 13363 22
4469 14582 25
14213 6946 28
13458 15426 21
1647 12600 16
5080 3100 16
17797 2552 23
7095 19358 12
1311 12955 25
145 3334 28
246 19640 26
7483 5568 27
9699 10654 11
19034 9474 15
8995 19926 17
7303 17032 27
10965 19331 23
15883 3198 17
3129 835 15
13026 15412 24
18 18732 28
14268 11593 15
1861 4658 11
18327 994 14
12216 19037 17
19096 1535 17
17948 17059 24
12205 14892 9
13702 2659 14
1419 8766 17
15724 8223 19
18566 6324 23
4999 675 21
6172 13737 16
14644 5396 20
6477 8075 6
1926 19539 16
18600 11121 16
11798 8987 17
9711 15770 18
9338 8225 26
11840 7143 27
5009 2755 17
3705 5008 9
1309 9277 27
10739 12826 31
8134 8552 16
1353 332 29
10473 7688 23
16104 5813 22
9439 4984 19
6288 4144 23
2055 9167 2
12593 8576 13
17824 12509 34
2511 850 22
1707 8972 12
5471 15103 17
17421 3297 31
9319 5032 24
1130 11193 26
10593 12090 23
14347 14350 19
13384 1464 15
4542 3409 18
14018 7309 24
17994 1072 32
5541 510 25
8044 12850 9
2054 9736 13
6933 6159 27
18856 16212 19
6456 16220 22
12196 9202 17
2668 12328 24
3074 13759 26
11047 19706 15
18909 18337 25
6660 7606 22
12643 1191 47
17918 11351 6
7218 17867 18
178 883 16
9212 3025 20
16097 1340 8
16451 4391 27
10602 2651 30
17629 11941 23
1300 17045 24
11920 5580 24
5474 19656 23
12918 11432 10
17500 3372 32
4928 11448 15
19304 18872 13
10978 7945 19
1438 9688 32
4790 19545 34
10781 10812 19
3580 10807 20
13358 2608 11
11288 18617 18
9246 7954 22
8090 16829 20
5686 6176 32
16519 12794 23
13408 769 15
9193 11852 16
8751 18349 21
8383 11322 25
19337 942 19
18323 4191 24
2778 8401 36
12589 676 24
16728 2537 11
13183 3406 21
6439 3898 -4
6554 9400 13
6160 4475 31
4887 5311 19
9085 13435 18
2711 13384 27
14987 1425 18
15526 9656 25
3797 4315 -3
5664 15702 21
17027 15256 26
2444 9917 27
5241 17767 23
1436 16689 41
13100 1253 19
13310 3809 31
4061 4280 12
5868 17288 24
6170 3376 18
5590 19852 7
18756 19647 9
12480 1785 18
3131 12078 10
10366 18312 20
11267 19105 23
5368 16219 13
1378 18392 15
455 9564 23
13887 5001 21
13813 2243 21
17669 7369 16
16241 14639 28
14816 10353 19
7995 14949 20
13444 12107 27
5557 4147 16
6144 14167 28
5492 5892 8
7504 14213 15
7632 15560 15
6172 1328 13
7296 13932 23
7646 15639 33
6175 18953 9
13213 314 -3
6212 3979 24
11223 15272 13
9437 13744 14
4258 18992 21
13184 943 17
380 15139 20
