50000 100000
6282 34124 8
28408 17963 10
48258 24013 20
45617 45134 18
43610 49556 8
32992 46739 13
33884 7521 26
19340 22961 24
40132 34526 31
26254 13884 29
32214 4381 14
37161 19796 7
26498 20212 31
38299 49705 26
31640 19464 20
12276 33454 14
2721 38117 26
1084 20436 32
11760 48748 21
33050 2690 22
7907 7012 13
7941 16133 25
7511 42049 8
30360 23079 13
35630 29170 25
48942 28954 10
32298 25708 9
26838 39115 19
17391 12002 18
18175 37697 24
38004 39934 22
21021 42844 17
1026 24934 15
45250 2968 12
32947 14570 3
33765 14122 16
8244 41777 22
17360 41932 22
9608 27681 37
31471 10232 4
7854 28681 0
22920 11862 22
26883 27655 24
37653 32340 23
16950 19104 5
592 22847 33
8116 26347 28
15135 27611 10
3464 19141 22
23875 17215 25
6259 27639 16
48431 5823 36
43608 37461 19
19287 34451 -2
17452 2555 26
140 47754 15
10130 34483 2
18914 47275 19
35198 17760 11
26384 42617 13
43030 26962 15
18641 2943 10
29553 47551 16
43262 3732 22
3161 4363 23
42693 49718 18
45257 25714 8
21541 10288 30
44896 34875 25
19439 25365 16
24732 38804 3
34662 38196 24
29759 24474 35
40868 11319 22
23138 39240 15
24911 3563 6
41465 15783 9
2184 3934 16
18025 41027 18
45748 36041 24
22205 42701 25
11193 46130 22
10012 33106 30
44682 1452 21
29780 36819 11
26311 39143 18
39273 48219 37
48776 42473 14
5197 19533 18
17537 47413 8
13173 47224 15
40231 32556 29
10206 35141 29
22991 5026 28
33011 41355 15
23108 5407 18
17393 21321 20
18261 25961 30
3596 17387 12
19184 42018 17
31519 21125 25
3371 13467 28
7036 35831 34
16737 9555 25
22499 39278 19
36719 44367 20
18067 47672 21
4475 22184 13
17184 38249 16
13360 45313 19
2237 39446 33
28962 45462 11
43547 31129 15
35913 41073 16
30868 34500 34
25888 30450 16
14992 36116 27
24644 47310 18
1768 34893 27
38834 25931 14
48424 11649 23
45734 13587 15
41727 41126 8
15236 41685 10
18620 27478 34
7325 30451 19
23355 49694 3
47792 241 19
37995 29756 33
46461 42300 33
39715 42160 9
14275 38543 17
48116 8591 14
43252 26247 26
12280 10214 28
2820 28985 27
30089 21085 31
16857 12060 14
40716 18809 21
345 11891 33
20294 29544 33
1487 5050 11
30157 29570 10
148 11429 25
893 44842 13
49620 22484 29
30356 42670 5
36153 28151 6
23248 23342 30
37913 27073 24
14652 38362 40
44383 20994 15
2442 29723 27
14917 29885 18
20155 39790 3
35860 18827 15
44174 40165 29
6339 12665 31
23305 7295 4
22956 42676 10
49130 29433 26
22787 31024 14
46959 13197 33
14051 49094 34
9427 30463 15
49128 49402 17
35827 41007 12
36382 15791 10
47217 32341 35
46823 30152 21
35469 6032 8
48509 45731 24
18650 13830 21
31848 12015 26
26420 45122 28
45470 10496 17
31895 22543 22
3304 10884 15
19409 11455 17
19687 43338 19
46683 29371 14
42300 20407 17
46877 33944 21
3289 8607 27
2355 18065 2
46371 4322 22
45221 7938 12
14587 48690 28
19232 13356 11
35430 38919 21
26593 45992 14
7038 11133 7
17558 45818 38
21260 28526 22
43344 11520 19
39212 47341 19
27457 13600 34
8844 28686 24
1039 41483 23
30615 34012 25
45007 45395 28
46117 21317 10
4259 42209 20
20537 42833 18
21966 11623 11
20364 7152 26
41543 39381 20
44966 13791 19
20373 44658 13
30898 20387 20
10273 6322 28
18702 24301 13
31351 40784 15
48760 5894 6
9188 7842 23
37473 3362 27
41000 16826 19
38973 12015 21
3286 1297 18
15425 30052 22
17791 684 22
6830 49327 26
14465 34900 18
34228 8061 26
26933 45727 29
2009 17255 17
6739 21828 21
34421 41702 4
25640 37196 12
9677 7536 19
11317 4716 28
8932 35524 23
30448 15359 14
24775 43720 21
38760 48466 17
45920 12226 11
1552 11662 24
11589 4311 28
28915 25019 22
21011 34017 19
19689 32332 15
40987 41992 29
36806 22588 -7
27662 28605 25
21988 34271 6
31474 16145 23
2305 10863 22
2368 34719 23
26380 28726 19
47953 23111 27
6660 1180 29
15157 1178 31
10523 29233 13
22858 15474 18
23777 13804 27
29762 42773 9
46746 27511 13
24862 25460 25
17666 48009 27
13826 43594 16
43664 25617 21
13445 29292 1
8803 33944 20
7342 9449 16
32265 15873 20
12360 34361 -6
46594 12298 5
22686 24655 29
22273 12106 19
33807 36345 19
31930 12051 5
10154 8876 17
29477 12063 11
8675 16474 26
42553 43987 11
31180 23181 25
14145 9168 11
29964 15627 9
45514 24895 19
8475 38711 17
21815 14207 11
12402 6377 5
46467 41498 24
16764 46624 21
10480 2168 21
35478 16295 7
11163 22864 10
24525 23343 5
26394 31693 30
27679 47171 23
11141 1043 16
38635 18995 18
5735 26646 18
25714 36986 10
9065 40344 17
30702 12413 28
24437 36412 16
45005 6477 30
32342 31980 14
27373 14499 32
