700 200
12 253 36
588 148 20
70 561 16
176 317 17
41 456 30
109 275 34
277 544 27
133 468 10
23 556 32
107 577 25
556 155 24
216 585 24
45 54 14
148 94 20
406 37 25
379 551 31
329 154 15
634 116 16
601 56 16
646 169 27
673 57 21
113 271 27
72 104 13
540 665 14
65 192 18
77 514 19
447 10 14
243 501 11
336 110 25
202 424 22
334 254 13
247 432 14
658 622 7
675 414 14
166 514 17
33 622 24
97 125 25
53 47 30
524 447 12
178 299 29
475 581 25
87 119 24
341 501 13
335 248 8
521 581 28
240 278 5
419 553 36
685 182 10
620 79 17
352 222 5
290 324 24
484 136 17
196 81 27
46 482 27
687 170 26
153 27 13
585 208 0
695 572 39
334 324 24
64 184 9
415 550 22
227 440 7
183 478 17
44 285 18
358 490 39
564 409 18
429 150 17
403 39 17
293 122 22
638 350 15
676 305 26
647 153 8
110 656 24
132 291 19
452 397 21
107 662 37
405 360 16
342 112 29
610 170 18
457 443 33
137 507 14
477 101 15
638 302 21
432 105 28
349 66 21
442 428 27
92 335 21
452 209 20
607 532 12
240 273 23
674 427 19
441 378 13
680 282 13
384 698 21
512 21 18
107 587 28
189 198 18
410 604 20
277 464 30
80 58 15
539 239 18
303 616 13
245 420 22
327 305 19
248 210 21
238 441 19
93 97 22
28 530 14
432 68 18
205 260 25
125 219 17
340 465 25
170 312 9
175 633 38
214 266 26
494 202 28
13 412 27
91 182 25
568 93 9
366 389 5
37 58 3
590 49 16
457 23 32
186 477 21
425 281 24
638 112 14
271 558 27
338 413 13
354 511 11
53 189 12
529 364 23
175 687 26
68 360 7
586 629 35
156 310 18
145 173 31
338 261 12
36 526 20
611 533 20
146 144 24
562 117 14
5 446 22
496 233 29
102 158 26
106 148 20
148 468 28
297 96 29
333 84 24
613 107 13
476 183 30
233 466 8
371 606 23
490 314 23
670 469 16
539 39 24
436 681 30
235 371 12
18 138 29
456 501 23
146 274 11
388 6 20
193 653 25
602 448 31
217 124 26
186 430 18
339 285 21
315 200 25
126 3 17
548 65 23
156 554 9
194 456 27
435 455 24
528 84 25
207 151 12
599 516 15
587 291 12
385 166 31
503 692 12
574 304 11
15 139 4
633 333 16
75 276 31
525 172 11
563 539 17
181 89 2
355 353 24
546 67 26
462 18 12
298 614 13
12 199 22
682 176 17
318 140 17
327 663 26
22 696 15
604 202 0
225 453 10
318 493 35
468 558 20
435 356 14
417 24 8
