3000 2000
2 730 22
2623 150 17
2964 1287 7
689 303 17
73 2693 20
1589 131 10
2918 1743 30
2450 1488 21
768 1452 6
1953 1084 24
177 1915 8
1189 441 7
2931 1526 19
1326 2090 29
899 2192 8
714 2594 20
352 530 10
575 818 30
1174 1322 21
34 2463 22
363 1413 33
858 1795 30
1499 1245 28
1335 643 21
1242 2801 21
2976 2084 19
1630 2833 21
419 1221 19
1143 2919 24
1789 2456 25
1200 935 21
541 2673 13
1277 2687 13
2613 2994 23
1758 2282 24
765 2452 16
852 2811 16
2855 2294 24
2100 217 6
2308 2625 18
1833 1331 31
944 2211 12
282 2998 10
1994 2831 32
1986 2689 8
2216 2378 35
2226 566 0
2831 2148 10
2841 151 13
2433 784 34
2551 871 12
2540 2098 12
2081 741 16
1498 2109 15
2369 660 33
1627 2546 22
1246 901 14
1443 334 21
2985 1429 7
136 1378 18
1541 2732 27
2492 2907 37
243 2963 16
1831 44 17
2440 1383 17
2435 2427 28
801 2897 22
2212 833 27
2382 290 23
1839 830 3
2691 142 20
2581 1277 26
2147 405 7
471 2382 28
2805 2941 14
417 1958 34
681 2241 20
496 2904 22
1937 684 29
2108 699 8
87 1558 33
1003 2717 9
97 45 23
1756 1853 23
290 1880 8
1590 1796 17
313 2334 25
2067 1625 20
475 1262 10
2030 2514 17
707 2170 15
374 369 26
2873 223 27
2457 1842 10
666 34 5
2875 1994 17
2813 1643 23
1734 1185 16
122 333 19
2499 2254 22
2355 2115 18
2023 312 36
1795 2472 29
2968 1030 3
306 1489 21
1179 679 14
2498 722 31
2001 2821 30
2816 275 3
2232 149 20
474 281 19
2836 751 2
1701 1293 12
1742 2347 22
2820 240 36
2894 1971 25
839 2069 27
2034 1712 23
1645 2215 16
342 941 18
1946 751 19
1094 2606 20
1689 898 13
1934 1371 7
2261 259 21
1738 2280 13
1116 565 19
858 1476 29
2208 577 39
2473 1471 23
1122 2334 32
1639 1759 17
2491 1995 25
332 1818 29
2114 636 5
574 1750 11
2651 895 16
1127 1730 20
988 1760 20
322 1602 17
115 1116 12
2763 2818 17
881 1033 20
1410 1280 31
2299 490 26
199 445 23
1317 1945 12
604 596 30
2839 859 16
2984 2625 27
1474 223 23
643 19 11
2156 1393 24
775 2398 13
2113 440 27
574 789 21
299 375 32
873 895 11
1168 1261 8
1760 1884 34
2431 1866 10
1165 2655 26
733 2841 11
1837 2032 7
505 2747 11
1078 1888 5
1621 148 23
255 1364 19
1235 2669 26
190 1413 30
1995 1072 8
617 1224 25
553 1230 12
1999 488 11
2185 21 3
185 489 11
2314 2038 18
1221 869 8
2371 898 17
1463 2004 8
839 2902 28
679 2906 25
771 2263 14
1736 2244 32
2445 2366 29
210 137 20
2867 985 11
141 1604 18
455 2988 22
129 1994 -2
963 2334 20
2184 668 19
651 1993 26
1893 1770 16
309 2882 8
184 848 36
2928 1209 14
440 1361 12
2173 554 11
931 920 13
2134 1770 29
1459 426 22
1136 1386 10
2933 2603 18
1561 19 28
47 2353 14
1024 1537 19
2130 585 21
1333 212 12
1133 1236 11
1734 2938 18
2946 566 13
155 2034 23
1924 2116 28
2046 1722 4
45 1439 26
2574 747 28
1007 2202 36
187 1270 15
1956 1566 24
851 81 0
1185 1298 7
617 229 9
2010 2066 29
2999 2438 18
2385 785 15
2833 2139 36
455 2099 4
2453 379 19
2644 2660 22
1539 1938 11
2761 12 10
2006 1679 15
1108 2706 25
1838 1959 14
2342 241 20
1128 2405 12
112 2989 8
47 1431 17
551 1122 14
1970 1949 37
1865 788 23
1015 2608 23
2629 384 25
2175 2349 17
2475 200 5
971 1168 15
786 170 14
167 1682 20
1348 2175 17
2039 142 12
1338 2307 14
1930 1937 12
1410 744 21
1419 618 15
154 405 23
2631 2239 25
1515 1284 13
959 2856 23
1881 2012 15
2605 898 22
318 212 17
2489 213 16
151 1427 16
329 1546 33
2088 1827 1
576 2622 25
2050 1103 26
1212 583 3
981 627 20
970 1086 28
2352 1985 19
102 1609 19
2190 2696 2
2865 1029 27
2587 1204 29
1508 2031 30
2279 2580 19
1852 1905 35
793 2479 20
893 1910 24
1046 2705 19
247 2779 22
1320 1479 15
1491 2155 14
570 2295 18
2681 301 20
393 254 26
208 1589 21
2173 1286 21
128 1349 31
150 918 41
1668 737 27
232 2898 14
147 526 25
735 2749 25
79 274 9
634 1863 31
2162 599 30
1074 1096 19
2827 2655 26
522 1850 29
888 273 30
558 2176 40
780 2443 32
1337 495 6
906 2411 14
1932 193 24
1075 1803 22
2131 654 -1
2618 1450 24
164 221 25
2223 2161 20
2284 1025 8
2871 2798 11
1724 928 26
2239 246 11
1589 577 17
2262 2032 23
470 475 32
217 2389 25
478 1722 15
1282 746 29
1670 260 20
2431 2265 20
596 1618 15
347 676 13
2395 503 10
513 1290 14
1399 137 22
2554 2349 30
2620 2328 18
134 661 36
2813 848 36
741 510 18
255 638 25
2472 1353 20
384 1535 20
2330 2911 21
42 533 17
2993 1313 21
2892 2601 13
1487 1508 23
2696 2536 8
592 1527 15
2668 260 20
1311 2781 14
344 718 25
2529 1986 19
350 1109 10
404 2608 22
24 1881 2
816 2439 15
526 594 20
1568 124 10
2055 1357 14
1000 1654 17
1139 636 13
2947 425 2
2609 2410 14
1648 266 18
2978 2793 12
1616 836 20
1472 2135 12
273 2118 27
964 232 17
1176 1754 13
1857 1460 21
71 2455 32
2817 1779 24
1588 2640 22
1925 709 21
2477 2472 14
2349 545 22
1944 1924 27
2190 494 28
122 403 29
2466 1866 31
2180 1321 16
2784 2296 18
2124 277 25
2591 767 32
2048 2494 2
395 629 24
295 39 24
1875 2404 16
1837 1011 20
1486 1367 24
964 1233 20
1670 365 21
1532 656 31
142 1341 20
764 90 23
2454 1952 26
1696 1756 1
1 2225 22
2844 2906 7
1179 1436 7
571 1111 21
2548 2555 36
1925 1046 32
1368 247 4
1447 1376 14
2276 2516 23
1238 2904 29
249 1907 17
289 2246 15
666 1252 21
968 2496 25
906 2190 10
1016 2868 16
1918 2547 4
1410 1637 11
1617 601 27
47 802 28
2447 2947 17
2926 564 18
1006 1097 7
1661 2376 30
272 2503 6
2513 1954 25
2658 1539 25
880 1588 17
2857 146 21
299 1854 12
1834 1313 31
1674 6 36
1763 2763 9
2554 722 16
574 406 27
2144 2344 35
2433 105 19
889 2417 22
1204 2768 13
2816 1122 4
2861 2721 32
2470 2548 21
1484 1158 23
1746 1652 9
2833 1784 16
316 1063 18
2692 743 15
319 2757 28
431 1365 16
295 241 41
2125 494 28
971 151 15
2303 2374 31
1185 522 25
2435 1516 12
995 1940 20
2515 2905 23
960 568 21
514 1487 5
989 1114 9
2300 418 17
1733 2290 20
1791 1415 23
101 2713 18
2187 755 6
2112 1744 25
2819 523 25
2400 1997 17
1379 102 9
142 2601 34
1406 2588 28
937 1223 25
758 431 10
1376 2373 35
2293 1475 23
1194 2552 26
1581 2055 16
2657 332 31
38 470 22
733 1721 35
103 2961 19
2659 2230 16
1292 437 13
2535 90 21
1409 1318 32
313 869 13
2353 1921 20
168 25 11
277 2407 -1
2083 399 16
1261 1180 18
2231 558 17
2674 1540 20
2131 2287 16
1154 2448 18
1774 1723 25
2720 2417 32
1418 1278 12
150 971 17
1861 391 34
1732 635 19
2573 2101 23
1247 673 13
2905 163 23
2933 687 9
756 764 13
381 2615 11
163 1943 18
418 2063 10
1371 307 31
2350 1816 12
1038 2556 16
2016 19 26
2628 988 12
1442 1464 8
718 142 27
2846 2882 30
2285 29 14
2279 2307 33
1153 1344 23
432 829 5
2722 2580 8
2814 1205 22
1632 1639 21
1152 2061 16
257 311 16
2564 1666 17
17 2808 20
896 2983 13
2037 2531 23
724 1089 19
1241 2820 29
2803 1781 25
421 2454 18
1501 513 9
1135 900 11
2787 2474 17
2189 2410 8
260 1521 16
1434 191 20
1318 2410 8
1430 2111 23
1177 2245 18
426 233 19
599 311 15
1530 251 11
1076 529 15
142 464 8
218 1721 14
1109 1818 24
1716 2753 18
391 1550 26
2511 2439 31
605 76 12
2962 2488 5
1786 2419 25
371 2987 20
2291 2911 22
77 102 20
2278 2279 19
623 2898 20
1574 2961 20
1251 868 18
1523 71 16
1457 2552 33
457 340 13
342 1148 12
1481 515 6
993 2673 46
176 1369 13
2399 1225 4
429 377 17
1259 657 22
850 228 8
756 1776 12
1754 2449 19
2820 591 5
1431 1040 7
1011 1639 24
1409 2485 23
2571 945 18
1590 1682 28
2174 2404 34
2351 898 5
2563 2696 28
2766 2665 13
2729 1459 30
2991 660 17
2555 946 16
441 2876 27
27 1099 0
396 874 14
719 1477 17
2855 2601 26
985 1840 13
1384 1994 25
2710 2022 17
2896 1598 25
774 748 29
709 792 25
1090 1007 12
1426 1336 33
2038 688 22
429 182 16
1431 324 28
232 219 8
21 946 16
62 2539 25
2383 1400 29
2371 183 25
2881 2908 19
962 2751 14
1335 197 37
366 439 23
1215 2091 24
1851 481 16
2443 2877 25
1881 1949 2
2682 1302 32
1981 432 17
1566 2014 7
1305 2448 29
2107 1378 16
614 2956 23
560 1136 9
422 684 16
2614 2313 21
200 1364 17
1282 1727 23
1969 80 24
2519 1334 24
778 1083 21
1896 2310 29
372 935 20
248 1120 23
2992 591 34
2625 2591 20
2867 1602 25
2804 290 34
356 879 7
2893 1128 10
1403 784 28
2617 2162 23
410 2698 36
48 595 22
1317 179 15
1085 171 18
2979 763 24
2291 2687 21
1116 1515 17
1839 994 21
26 560 16
914 896 24
370 320 22
1710 1933 25
2026 2563 16
2312 301 22
1434 1340 12
2516 2959 18
2863 88 26
2341 883 13
1506 2808 12
2619 2201 30
1879 502 14
2582 1793 17
2270 1946 22
1608 1440 18
1462 2091 39
1144 115 20
545 1384 18
2884 2026 20
687 1938 29
503 1271 7
1914 838 12
1139 1572 20
2606 1753 17
2738 872 15
2402 1965 17
62 2890 29
1525 2930 27
2078 492 15
172 1677 20
2564 349 18
2310 1919 9
380 1346 22
211 409 20
666 1191 12
2689 1155 17
649 841 20
1852 2650 26
79 1797 10
104 40 15
2811 1481 14
129 1860 18
1368 2417 20
2484 2194 18
2493 1789 9
1680 728 14
690 258 27
872 2693 19
2436 905 42
2409 982 12
1253 158 28
1441 2262 26
1685 2893 29
828 1679 22
1676 2086 20
1978 2972 20
1192 11 20
2241 1599 10
1377 1731 44
2146 2698 19
755 1210 13
2559 2146 25
1445 361 28
2234 751 3
978 1635 20
1278 1864 20
350 2796 12
2189 2698 20
2400 2803 14
1755 608 17
