30000 160000
3241 2410 23
18278 22867 9
25156 23746 12
28331 5995 31
9821 5092 36
28896 622 7
5715 14102 9
14585 24983 25
9317 19073 20
24098 9038 21
3862 24824 17
19421 1906 25
28671 14282 25
153 14401 33
6500 4439 17
18148 16577 21
19884 8907 16
15762 24596 18
6302 25292 13
14630 20195 12
15142 28681 20
6631 20885 28
29793 18586 20
10860 21015 13
18668 23620 21
7902 5353 20
23577 11057 13
13461 28362 23
19505 23404 20
11284 28714 35
5145 8160 31
3247 25659 14
10617 4420 13
7096 21960 13
2027 19829 31
2561 21233 10
26809 9395 27
17104 28257 14
16754 12206 18
23425 9740 5
5367 17860 12
24432 6462 21
28456 12074 22
26864 15474 32
5534 11787 24
9362 7967 12
3021 29542 24
19137 20636 19
5351 25275 30
25558 14422 27
13052 6973 24
5627 20326 28
6730 8138 26
24650 24048 9
22630 25161 37
6468 6399 13
5842 1452 24
24103 1580 24
8279 24989 17
23462 18614 22
4845 993 19
11829 10489 34
29678 21802 22
1690 22169 26
19542 19038 4
25277 117 19
15077 15139 21
3736 11302 31
6762 2837 19
8523 5641 16
14335 16040 25
8994 442 8
18182 5704 31
29202 7269 29
7660 20161 17
27239 28658 23
269 6523 17
9082 101 18
4453 9295 26
15075 13254 16
12875 18074 14
2879 2783 6
17953 10242 18
28579 12396 19
19449 28782 24
26867 24088 23
2362 22317 14
2989 22334 19
5508 3920 33
13272 14125 21
28352 12565 30
14245 29554 24
10060 13085 17
20053 8774 16
10346 18662 22
29369 1724 21
11703 22595 19
25558 9350 25
17780 25499 21
26611 23257 27
25231 12631 16
19464 23875 31
37 19162 23
22302 1438 6
5623 25330 12
15585 5788 7
22409 26454 7
23984 4362 18
24510 103 18
2331 19023 24
27725 12209 13
15140 15899 20
13758 9161 20
8910 16330 11
11597 20942 18
693 3357 21
4712 28612 19
26463 21336 20
9968 20587 22
5512 15473 20
13802 1217 21
12868 6873 12
7712 22142 15
22031 22833 21
13844 23908 16
10130 19185 21
8628 15264 7
17504 13192 12
10008 1378 15
27035 1090 17
23727 25818 29
15485 3935 15
13208 7411 4
23884 2528 34
22916 24873 7
7257 17318 26
12908 8002 24
6617 8379 23
13530 3613 25
15779 22244 26
1658 9716 8
14829 12449 19
6972 16602 19
14995 11555 16
4943 12006 18
28156 29618 22
2947 2543 25
18102 856 9
3625 22502 15
15492 14001 30
15282 21590 17
8813 20839 17
25949 15035 20
7207 6080 25
27416 333 16
