500 100
398 336 31
34 63 25
274 55 5
107 470 31
67 422 30
331 171 26
270 6 30
86 245 6
22 262 19
230 236 12
103 410 10
25 149 14
394 468 32
320 230 25
491 113 18
494 431 28
401 19 26
136 336 16
143 430 24
197 5 22
175 446 10
281 404 15
247 434 30
331 189 13
30 36 24
148 189 19
305 498 33
235 346 17
156 401 15
115 324 21
293 387 16
240 405 19
290 206 14
97 193 6
384 109 14
474 105 14
77 352 25
278 64 12
366 473 17
65 316 23
215 96 11
8 425 11
450 206 13
420 305 15
108 216 26
397 81 25
325 137 17
254 138 19
431 411 24
391 63 18
95 279 18
269 335 19
442 335 24
459 12 30
484 254 12
187 363 23
409 29 14
167 407 4
432 439 20
412 301 27
495 131 15
270 259 12
168 188 29
290 304 33
436 188 16
481 144 19
237 127 21
447 48 53
229 61 9
37 470 32
304 149 24
162 251 25
236 91 30
94 321 24
388 453 15
95 55 14
229 413 39
262 273 20
429 11 13
13 177 26
71 25 36
227 288 23
293 303 15
127 203 25
236 413 6
170 327 20
465 264 9
177 180 0
362 297 21
428 86 18
166 409 12
18 302 21
363 422 9
451 478 14
171 429 19
289 386 24
143 418 10
178 491 23
273 111 25
94 340 11
