500 8000
201 2 22
274 424 25
246 190 21
439 248 25
394 239 29
167 91 9
238 213 21
56 333 7
216 466 15
308 492 8
429 147 31
406 306 26
92 116 22
228 1 24
103 78 29
456 370 12
120 36 19
178 29 18
247 170 8
289 36 21
170 410 13
164 285 25
211 238 20
4 281 17
82 302 11
225 228 5
262 64 12
34 482 19
497 226 16
334 181 21
138 161 16
435 242 29
24 109 27
441 357 10
103 152 27
383 178 12
309 305 11
263 213 24
339 185 29
135 376 23
476 353 24
263 195 14
241 361 31
309 393 17
169 430 11
284 144 22
468 321 22
212 420 25
140 236 25
154 123 15
0 158 20
56 375 12
157 370 24
99 428 22
24 484 21
70 56 23
131 472 22
216 98 31
132 263 12
369 184 20
347 16 19
199 367 28
363 332 8
154 306 23
444 298 19
65 42 35
382 409 18
309 130 17
397 320 12
403 93 14
327 399 21
276 84 19
48 23 29
410 430 38
207 372 24
172 32 15
397 383 23
473 425 26
88 151 13
418 48 19
161 494 30
142 22 28
222 483 19
325 382 8
60 11 37
330 81 10
473 189 31
406 209 27
95 494 13
44 341 29
160 455 33
228 47 1
122 293 9
112 208 31
392 339 24
181 4 14
322 57 15
238 17 17
142 471 25
481 370 14
16 155 12
456 134 22
432 418 23
298 444 14
303 312 13
146 419 32
202 313 16
190 94 0
427 412 18
432 181 9
152 378 14
143 8 21
232 239 21
71 116 33
268 474 24
321 246 11
154 452 10
314 380 23
497 490 6
370 95 22
483 332 19
182 75 22
476 266 20
133 356 35
333 192 19
309 472 18
258 483 35
472 330 17
255 104 8
32 294 19
239 260 30
141 293 15
164 484 2
235 397 29
32 103 5
498 301 26
197 153 10
58 487 26
466 112 16
229 445 26
159 298 29
103 455 18
24 338 3
87 406 19
78 494 26
420 2 7
362 187 18
100 472 9
234 198 32
427 425 15
428 155 19
400 450 34
143 89 25
419 376 20
1 125 10
294 452 15
260 152 27
37 263 16
419 314 12
217 357 20
55 238 10
447 236 24
268 117 24
23 327 14
350 419 4
475 186 19
209 59 16
142 386 22
53 317 10
259 27 10
42 121 27
85 43 22
248 497 34
84 185 11
233 304 7
265 41 18
106 258 21
43 258 20
23 490 17
72 96 16
134 490 21
264 141 24
348 207 26
109 201 11
58 83 24
397 404 23
238 136 23
363 210 13
157 292 9
251 207 17
197 49 12
133 149 39
440 78 13
287 18 18
439 1 11
357 55 27
217 383 34
12 121 29
127 294 1
10 313 29
413 86 27
416 32 27
297 49 31
356 31 14
74 163 19
280 225 18
154 27 31
85 474 29
46 152 29
470 473 7
369 359 7
280 443 6
106 67 25
332 357 21
31 221 22
427 415 34
364 492 18
182 450 30
485 242 20
322 125 16
210 469 12
94 20 20
269 13 14
433 41 29
322 296 20
68 25 27
173 201 8
82 427 30
302 476 18
499 7 21
159 456 31
427 191 14
224 475 14
259 221 15
110 439 31
165 317 26
40 284 9
344 477 14
407 67 27
42 298 15
109 442 8
320 139 24
456 471 7
354 363 22
238 258 31
32 86 17
276 81 18
57 117 16
242 186 31
223 59 25
192 481 17
260 328 35
43 240 21
413 7 19
332 35 18
325 474 23
459 38 14
64 217 14
329 134 15
367 69 21
124 483 23
29 44 10
22 241 29
180 24 18
452 441 17
34 7 17
487 337 28
39 151 13
225 389 22
477 254 28
115 59 11
263 498 24
88 158 28
126 322 13
285 338 14
53 396 16
328 297 15
117 287 30
226 228 2
425 349 22
250 497 16
426 32 14
174 46 7
270 94 10
415 413 18
283 156 9
14 470 13
295 438 16
143 322 30
292 273 15
99 216 25
318 24 15
118 412 18
47 245 18
476 39 14
177 74 9
297 489 8
418 315 15
272 263 15
159 116 18
483 217 21
154 29 22
114 24 29
370 226 36
448 146 30
21 358 19
34 402 25
41 66 30
289 438 28
42 245 13
211 216 14
433 322 14
123 400 22
240 415 10
443 14 21
447 466 25
93 262 10
463 44 23
123 285 23
182 327 19
464 54 7
39 496 22
278 335 20
166 489 12
286 280 32
443 217 16
318 235 19
154 62 14
266 265 12
84 145 12
428 52 20
124 174 2
84 161 27
348 417 21
364 432 35
82 236 19
170 27 18
192 215 28
411 215 15
196 258 23
10 5 1
342 193 22
243 402 14
127 450 26
463 330 16
340 452 14
217 118 22
476 283 24
290 315 24
122 482 12
475 230 17
247 139 28
335 309 26
146 306 28
206 434 41
47 355 26
358 16 17
263 252 26
162 45 19
204 23 22
283 83 22
187 66 15
41 220 20
425 252 15
475 33 4
272 318 15
448 362 12
353 54 5
367 373 23
195 60 21
126 303 21
208 28 20
20 236 4
211 240 32
358 129 13
206 444 19
137 313 1
21 459 16
268 214 36
219 478 10
195 263 24
325 66 27
39 333 19
146 44 21
203 75 24
345 102 13
249 333 39
263 336 20
38 220 22
453 493 17
266 492 28
421 176 17
97 359 16
39 423 10
333 14 19
137 106 14
317 422 28
72 305 15
41 56 15
15 127 30
308 364 25
392 490 13
239 264 32
64 382 15
179 396 21
82 366 27
411 336 16
173 386 15
213 26 14
453 281 22
162 183 10
159 452 12
281 184 32
245 256 8
160 201 19
446 445 26
306 59 14
312 137 6
315 230 14
320 134 28
187 68 9
201 361 12
376 383 36
302 419 23
372 224 26
385 404 30
342 68 18
286 331 21
47 399 9
4 90 22
165 486 12
12 76 13
331 322 25
447 234 25
383 488 10
200 337 9
257 389 17
442 282 28
298 470 35
304 351 26
112 49 18
152 342 18
45 436 19
131 271 12
463 104 11
164 381 15
169 372 9
64 364 20
93 480 24
0 381 23
327 262 28
15 141 10
80 230 18
460 451 24
53 65 21
15 354 39
413 356 17
464 127 3
312 419 15
430 97 23
22 205 16
455 97 18
259 251 24
59 178 24
452 483 21
475 321 13
301 69 7
246 324 18
273 346 14
264 76 18
292 230 18
162 347 22
432 282 10
364 254 21
172 28 5
365 40 18
364 307 23
2 458 13
325 226 36
96 360 32
54 143 19
22 382 20
392 142 25
316 1 32
10 99 36
359 70 29
284 261 23
405 196 18
467 248 22
95 309 13
75 378 10
145 350 23
7 207 4
467 233 17
430 274 28
266 483 26
52 186 20
201 152 30
455 137 14
145 139 13
110 379 20
93 242 16
78 481 37
7 292 13
419 155 10
