28 252
4 0 24
10 21 -5
23 27 30
27 12 19
27 1 33
22 5 42
9 7 13
23 11 14
18 14 19
10 25 25
1 2 7
2 15 26
5 9 18
11 22 20
15 22 18
24 23 20
0 10 31
20 18 27
13 6 37
3 11 5
7 17 8
0 19 11
19 18 15
16 9 24
16 20 30
5 26 37
7 6 18
11 14 21
23 17 4
11 8 24
26 5 19
0 22 31
16 3 17
21 17 18
3 0 21
20 2 13
26 6 16
13 18 -15
12 6 33
21 10 29
5 8 45
7 15 11
1 5 22
22 1 21
20 7 25
12 26 17
3 27 21
22 2 7
25 27 13
3 8 17
3 22 23
8 21 6
1 10 27
1 4 2
13 27 13
25 0 18
0 3 24
18 5 16
1 25 8
15 8 4
22 27 38
0 8 16
7 5 40
12 14 33
20 1 13
13 8 15
24 26 26
23 18 16
13 14 1
10 2 26
14 6 23
3 24 -1
27 22 35
22 7 19
23 12 38
16 27 17
8 10 20
26 18 34
2 10 26
23 10 25
8 12 4
24 7 2
4 1 23
0 1 22
15 2 27
9 0 -5
25 1 24
22 12 35
12 23 14
23 2 16
13 0 16
12 4 27
5 25 15
6 3 14
22 23 28
25 6 13
19 4 31
18 4 30
9 15 -2
5 17 22
19 1 13
2 14 17
10 14 11
19 5 22
15 13 30
18 10 13
16 7 10
9 23 45
16 12 8
11 27 14
14 11 17
18 17 28
6 18 28
13 26 19
3 25 12
2 25 19
15 24 10
10 19 29
0 23 29
9 10 -3
7 14 17
0 18 25
11 18 26
16 14 7
26 22 4
17 7 10
21 22 24
11 23 22
14 20 27
24 6 4
17 25 13
17 12 17
16 25 44
26 1 34
20 17 38
4 5 13
26 21 -9
2 24 5
11 10 24
26 7 17
20 27 16
17 10 19
9 20 12
20 26 18
24 14 19
27 5 31
18 23 28
14 21 26
27 19 19
8 11 20
22 0 20
15 6 23
1 3 18
10 23 16
21 16 13
24 19 11
3 15 8
11 6 4
24 15 17
27 14 21
2 13 22
10 22 10
14 2 1
6 15 11
6 8 18
1 17 17
0 26 16
1 20 0
1 6 23
4 2 -5
3 1 24
20 6 37
12 2 1
23 7 12
9 19 9
23 22 30
13 7 7
12 5 23
23 13 20
24 18 28
23 21 10
8 22 30
24 22 26
22 6 29
18 1 13
1 18 14
22 4 23
6 12 13
16 1 28
4 6 16
9 6 15
10 11 27
3 20 16
8 7 8
6 22 43
15 16 48
17 14 5
5 6 23
1 11 8
17 24 17
6 21 4
19 14 -4
20 5 19
14 0 22
14 24 25
0 13 18
0 15 42
9 26 18
21 24 6
23 6 14
21 4 -3
5 10 16
8 20 13
9 27 25
3 10 31
5 4 27
8 16 1
23 3 26
6 0 23
16 10 16
13 17 23
4 8 4
18 20 22
11 5 11
7 8 19
5 0 20
20 11 13
14 23 4
9 17 32
18 9 30
24 25 13
14 8 17
18 26 18
17 6 20
6 25 -8
19 10 31
12 8 13
14 25 18
6 10 18
10 15 17
17 22 22
0 14 21
26 20 22
27 25 15
17 18 22
24 17 11
26 23 25
12 22 14
5 1 17
2 8 2
17 20 18
12 16 39
